cell_a,cell_b,weight,len
169,234,1.0,59.667717163935166
169,549,0.6,74.86635018607578
170,249,0.6,54.187502772738725
170,266,0.6,60.25202258343762
170,376,0.6,72.62114002937129
170,424,0.6,79.26814144990024
170,434,0.6,81.14151704579291
170,610,0.6,83.17324571498808
171,185,1.0,51.19600797340795
171,227,1.0,55.489286020175484
171,356,0.6,80.20583893509162
171,406,0.6,67.68403935435965
171,587,0.6,54.02111946409729
172,605,0.6,85.7315209874337
173,196,1.0,51.27823299921845
173,256,0.6,98.28125917774113
174,226,1.0,51.72045760736251
174,432,0.6,96.43237989015165
174,446,0.6,91.96678171802067
174,475,0.6,101.29788617206384
174,598,0.6,69.72344159111898
176,195,1.0,62.238079919998135
176,228,1.0,70.16357910550614
176,276,0.6,66.49655915636954
177,241,1.0,88.0419731367602
178,186,1.0,91.9527361197985
178,188,1.0,53.38278417182869
178,214,1.0,82.0855510143774
178,242,1.0,95.45851181360229
179,194,1.0,66.06335410693468
179,205,1.0,59.48713453120171
179,215,1.0,65.55678895112668
179,238,1.0,82.69933516206295
179,246,1.0,75.06000721016594
180,204,1.0,50.60308171207777
180,220,1.0,62.49826215578341
180,609,0.6,59.701011538052
180,639,0.6,79.55427638378917
181,187,1.0,91.70145987298982
181,234,1.0,51.57700039161279
181,459,0.6,53.335327903911185
181,508,0.6,63.521694847361616
182,190,1.0,59.11091927050203
182,433,0.6,91.30295273082504
182,452,0.6,80.66045499300188
182,453,0.6,73.9413332745089
182,476,0.6,67.87614762692483
182,496,0.6,68.89299105512438
183,210,1.0,45.28416006470109
183,260,0.6,54.826035956885605
183,524,0.6,71.85551303761233
184,237,1.0,63.103254858576975
184,436,0.6,64.92223016282325
184,555,0.6,91.81056937103027
185,356,0.6,86.40017334845496
185,366,0.6,89.99330736606265
186,188,1.0,102.80014434618373
186,522,0.6,86.77771538555581
187,234,1.0,69.25637580527184
187,523,0.6,66.23194520575878
187,531,0.6,89.29162949740997
188,242,1.0,89.64695157043693
188,624,0.6,57.1983090206703
188,658,0.6,70.15139118696177
188,664,0.6,88.46337260072572
189,210,1.0,59.11599098919478
189,222,1.0,64.25860645015148
189,524,0.6,48.7929930575997
189,560,0.6,78.41614142127021
190,230,1.0,69.17158165059357
191,397,0.6,70.59275881294508
191,586,0.6,64.88868075709406
192,209,1.0,74.54202531478299
192,216,1.0,87.63428640494132
192,218,1.0,62.19358136570508
192,236,1.0,97.83655962012926
193,203,1.0,62.9409193696436
193,590,0.6,85.20103937517963
194,215,1.0,63.95995475810637
194,238,1.0,85.68430579376464
195,199,1.0,66.5194201556866
195,239,1.0,71.94374715591162
195,391,0.6,101.47334646612507
197,240,1.0,89.5110423051627
197,629,0.6,63.22121545672415
198,245,1.0,99.1296956234536
199,228,1.0,62.85441575525479
199,483,0.6,71.81496210210001
200,612,0.6,88.62535640066767
200,626,0.6,92.47351530257875
200,630,0.6,92.10145647231113
201,340,0.6,96.23467227352556
201,361,0.6,81.6397083277996
201,376,0.6,89.99036945874627
201,410,0.6,66.57217931482258
201,419,0.6,74.62234367327093
201,424,0.6,60.721108092731086
202,222,1.0,85.43308528405828
202,478,0.6,69.87602093250082
202,592,0.6,81.74816128547027
203,382,0.6,56.64065658460392
203,398,0.6,67.15120152399331
204,212,1.0,64.1211842403369
204,235,1.0,59.86964029084256
204,609,0.6,79.79654056727063
205,208,1.0,68.6807063925593
205,238,1.0,74.84149416462321
205,246,1.0,94.71101211246791
206,434,0.6,102.28979299514639
207,208,1.0,57.240952101215036
207,281,0.6,87.47433689060203
207,563,0.6,95.75758619472926
208,281,0.6,66.91317693479886
209,236,1.0,60.09991687128213
209,273,0.6,58.74389830896457
209,282,0.6,70.27887610075831
210,222,1.0,85.66780270179827
210,524,0.6,64.74135099970951
211,251,0.6,69.4497371637623
212,550,0.6,81.28485449468995
213,233,1.0,101.80700499860968
213,512,0.6,99.69049938030686
213,518,0.6,86.77019579386337
213,536,0.6,90.55064418130621
213,539,0.6,97.4878750542737
214,242,1.0,70.56427114549992
215,232,1.0,63.2144432324677
215,246,1.0,93.34923026282785
216,218,1.0,78.15018795474927
217,530,0.6,74.01383032317959
217,547,0.6,58.08461470137983
218,545,0.6,91.28448680915105
219,285,1.0,29.948822633987707
220,378,0.6,54.81109558409135
220,390,0.6,83.22846106606725
220,639,0.6,69.75526114126603
221,244,1.0,72.58769941733937
221,247,0.6,41.0257766055057
221,252,0.6,51.731601304989795
221,257,0.6,57.07900178197825
221,574,0.6,65.59923900428096
223,246,1.0,98.0756058493182
223,258,0.6,76.42843065230836
223,566,0.6,75.33822413151273
224,264,0.6,63.302040959124525
224,561,0.6,69.60762347992491
225,442,0.6,91.0555553141233
225,618,0.6,95.67341114808997
226,598,0.6,79.08915244591714
226,615,0.6,85.37063281228461
227,243,1.0,89.03765759200282
227,406,0.6,68.35053805157871
227,574,0.6,92.38169863753265
229,244,1.0,90.29393293461503
229,394,0.6,87.78627907828321
229,661,0.6,80.84510840621903
231,277,1.0,41.19252107868463
231,377,0.6,87.61765132936951
231,611,1.0,27.495172527414574
232,241,1.0,84.79375547148624
233,255,0.6,74.7484946104658
233,512,0.6,74.79643361755353
233,519,0.6,69.18456156214386
235,275,0.6,59.339200392399086
235,283,0.6,61.09302584282577
235,408,0.6,62.96995019240756
235,609,0.6,78.60956721741043
235,610,0.6,82.07733283214367
236,282,0.6,86.39571585374816
236,567,0.6,81.29581495225602
236,620,0.6,80.94043293142666
238,240,1.0,89.3821009367284
240,468,0.6,75.30576034649326
240,629,0.6,64.44164449073365
242,279,0.6,71.06999901940155
242,284,0.6,52.10833150461525
242,604,0.6,88.00902980614954
242,634,0.6,76.9074909181078
242,658,0.6,82.94340355450409
243,527,0.6,80.70789771498285
243,565,0.6,91.01983202436708
244,252,0.6,88.77088147991982
245,633,0.6,99.79222295592439
245,638,0.6,91.1604021508938
245,648,0.6,97.078155213532
246,262,0.6,72.62084182218177
247,257,1.0,42.96874387180488
247,371,0.6,51.04719173969558
247,574,1.0,38.774603502261456
248,260,1.0,74.17037659248938
248,276,1.0,100.56306878562496
249,266,1.0,48.89315392870439
249,326,0.6,40.96047199007226
249,376,1.0,41.371165178629695
250,272,1.0,31.47184169142711
250,296,0.6,43.42792562947983
250,576,1.0,29.76880675592776
251,315,0.6,56.02553275490747
251,332,0.6,41.42680008035229
251,361,1.0,66.4209336851411
251,643,1.0,50.751757171508274
252,257,1.0,54.02426871444859
252,661,1.0,58.03569278338287
253,353,0.6,69.00202368319906
253,654,1.0,35.47563388964142
253,662,1.0,48.92654708544339
254,256,1.0,51.807315399769784
254,509,1.0,36.11927753919827
255,513,1.0,75.691574979846
255,519,1.0,36.14793247139494
